Reference ID,Habitable Rooms,Bedrooms,Tenure,Wheelchair?,Studio?,Tenure Type
H2.C.06.02,2,1,open,,,
H2.C.06.03,1,1,open,,Yes,
H2.C.06.04,4,2,open,,,
H2.C.06.05,4,2,open,,,
H2.C.06.06,1,1,open,,Yes,
H2.C.06.07,2,1,open,,,
H2.C.06.08,4,2,open,,,
H2.C.07.01,4,2,open,,,
H2.C.07.02,2,1,open,,,
H2.C.07.03,1,1,open,,Yes,
H2.C.07.04,4,2,open,,,
H2.C.07.05,4,2,open,,,
H2.C.07.06,1,1,open,,Yes,
H2.C.07.07,2,1,open,,,
H2.C.07.08,4,2,open,,,
H2.C.08.01,4,2,open,,,
H2.C.08.02,2,1,open,,,
H2.C.08.03,1,1,open,,Yes,
H2.C.08.04,4,2,open,,,
H2.C.08.05,4,2,open,,,
H2.C.08.06,1,1,open,,Yes,
H2.C.08.07,2,1,open,,,
H2.C.08.08,4,2,open,,,
H2.C.09.01,4,2,open,,,
H2.C.09.02,2,1,open,,,
H2.C.09.03,1,1,open,,Yes,
H2.C.09.04,4,2,open,,,
H2.C.09.05,4,2,open,,,
H2.C.09.06,1,1,open,,Yes,
H2.C.09.07,2,1,open,,,
H2.C.09.08,4,2,open,,,
H2.C.10.01,4,2,open,,,
H2.C.10.02,2,1,open,,,
H2.C.10.03,1,1,open,,Yes,
H2.C.10.04,4,2,open,,,
H2.C.10.05,4,2,open,,,
H2.C.10.06,1,1,open,,Yes,
H2.C.10.07,2,1,open,,,
H2.C.10.08,4,2,open,,,
H2.C.11.01,4,2,open,,,
H2.C.11.02,2,1,open,,,
H2.C.11.03,1,1,open,,Yes,
H2.C.11.04,4,2,open,,,
H2.C.11.05,4,2,open,,,
H2.C.11.06,1,1,open,,Yes,
H2.C.11.07,2,1,open,,,
H2.C.11.08,4,2,open,,,
H2.C.12.01,4,2,open,,,
H2.C.12.02,2,1,open,,,
H2.C.12.03,1,1,open,,Yes,
H2.C.12.04,4,2,open,,,
H2.C.12.05,4,2,open,,,
H2.C.12.06,1,1,open,,Yes,
H2.C.12.07,2,1,open,,,
H2.C.12.08,4,2,open,,,
H2.C.13.01,4,2,open,,,
H2.C.13.02,2,1,open,,,
H2.C.13.03,1,1,open,,Yes,
H2.C.13.04,4,2,open,,,
H2.C.13.05,4,2,open,,,
H2.C.13.06,1,1,open,,Yes,
H2.C.13.07,2,1,open,,,
H2.C.13.08,4,2,open,,,
H2.C.14.01,4,2,open,,,
H2.C.14.02,2,1,open,,,
H2.C.14.03,1,1,open,,Yes,
H2.C.14.04,4,2,open,,,
H2.C.14.05,4,2,open,,,
H2.C.14.06,1,1,open,,Yes,
H2.C.14.07,2,1,open,,,
H2.C.14.08,4,2,open,,,
H2.C.15.01,4,2,open,,,
H2.C.15.02,2,1,open,,,
H2.C.15.03,1,1,open,,Yes,
H2.C.15.04,4,2,open,,,
H2.C.15.05,4,2,open,,,
H2.C.15.06,1,1,open,,Yes,
H2.C.15.07,2,1,open,,,
H2.C.15.08,4,2,open,,,
H2.C.16.01,4,2,open,,,
H2.C.16.02,2,1,open,,,
H2.C.16.03,1,1,open,,Yes,
H2.C.16.04,4,2,open,,,
H2.C.16.05,4,2,open,,,
H2.C.16.06,1,1,open,,Yes,
H2.C.16.07,2,1,open,,,
H2.C.16.08,4,2,open,,,
H2.C.17.01,4,2,open,,,
H2.C.17.02,2,1,open,,,
H2.C.17.03,1,1,open,,Yes,
H2.C.17.04,4,2,open,,,
H2.C.17.05,4,2,open,,,
H2.C.17.06,1,1,open,,Yes,
H2.C.17.07,2,1,open,,,
H2.C.17.08,4,2,open,,,
H2.C.18.01,4,2,open,,,
H2.C.18.02,2,1,open,,,
H2.C.18.03,1,1,open,,Yes,
H2.C.18.04,4,2,open,,,
H2.C.18.05,4,2,open,,,
H2.C.18.06,1,1,open,,Yes,
H2.C.18.07,2,1,open,,,
H2.C.18.08,4,2,open,,,
H2.C.19.01,4,2,open,,,
H2.C.19.02,2,1,open,,,
H2.C.19.03,1,1,open,,Yes,
H2.C.19.04,4,2,open,,,
H2.C.19.05,4,2,open,,,
H2.C.19.06,1,1,open,,Yes,
H2.C.19.07,2,1,open,,,
H2.C.19.08,4,2,open,,,
H2.C.20.01,4,2,open,,,
H2.C.20.02,2,1,open,,,
H2.C.20.03,1,1,open,,Yes,
H2.C.20.04,4,2,open,,,
H2.C.20.05,4,2,open,,,
H2.C.20.06,1,1,open,,Yes,
H2.C.20.07,2,1,open,,,
H2.C.20.08,4,2,open,,,
H2.C.21.01,4,2,open,,,
H2.C.21.02,2,1,open,,,
H2.C.21.03,1,1,open,,Yes,
H2.C.21.04,4,2,open,,,
H2.C.21.05,4,2,open,,,
H2.C.21.06,1,1,open,,Yes,
H2.C.21.07,2,1,open,,,
H2.C.21.08,4,2,open,,,
H2.C.22.01,4,2,open,,,
H2.C.22.02,2,1,open,,,
H2.C.22.03,1,1,open,,Yes,
H2.C.22.04,4,2,open,,,
H2.C.22.05,4,2,open,,,
H2.C.22.06,1,1,open,,Yes,
H2.C.22.07,2,1,open,,,
H2.C.22.08,4,2,open,,,
H2.C.23.01,4,2,open,,,
H2.C.23.02,2,1,open,,,
H2.C.23.03,1,1,open,,Yes,
H2.C.23.04,4,2,open,,,
H2.C.23.05,4,2,open,,,
H2.C.23.06,1,1,open,,Yes,
H2.C.23.07,2,1,open,,,
H2.C.23.08,4,2,open,,,
H2.C.24.01,4,2,open,,,
H2.C.24.02,2,1,open,,,
H2.C.24.03,1,1,open,,Yes,
H2.C.24.04,4,2,open,,,
H2.C.24.05,4,2,open,,,
H2.C.24.06,1,1,open,,Yes,
H2.C.24.07,2,1,open,,,
H2.C.24.08,4,2,open,,,
H2.C.25.01,4,2,open,,,
H2.C.25.02,2,1,open,,,
H2.C.25.03,5,3,open,,,
H2.C.25.04,5,3,open,,,
H2.C.25.05,2,1,open,,,
H2.C.25.06,4,2,open,,,
H2.C.26.01,4,2,open,,,
H2.C.26.02,2,1,open,,,
H2.C.26.03,5,3,open,,,
H2.C.26.04,5,3,open,,,
H2.C.26.05,2,1,open,,,
H2.C.26.06,4,2,open,,,
H2.C.27.01,4,2,open,,,
H2.C.27.02,2,1,open,,,
H2.C.27.03,5,3,open,,,
H2.C.27.04,5,3,open,,,
H2.C.27.05,2,1,open,,,
H2.C.27.06,4,2,open,,,
H2.C.28.01,4,2,open,,,
H2.C.28.02,2,1,open,,,
H2.C.28.03,5,3,open,,,
H2.C.28.04,5,3,open,,,
H2.C.28.05,2,1,open,,,
H2.C.28.06,4,2,open,,,
H2.C.29.01,4,2,open,,,
H2.C.29.02,2,1,open,,,
H2.C.29.03,5,3,open,,,
H2.C.29.04,5,3,open,,,
H2.C.29.05,2,1,open,,,
H2.C.29.06,4,2,open,,,
H2.C.30.01,5,3,open,,,
H2.C.30.02,5,3,open,,,
H2.D.01.01,4,2,open,,,
H2.D.01.02,4,2,open,,,
H2.D.01.03,3,1,open,Yes,,
H2.D.01.04,3,1,open,Yes,,
H2.D.01.05,3,1,open,Yes,,
H2.D.01.06,4,2,open,,,
H2.D.02.01,4,2,open,,,
H2.D.02.02,4,2,open,,,
H2.D.02.03,3,1,open,Yes,,
H2.D.02.04,3,1,open,Yes,,
H2.D.02.05,3,1,open,Yes,,
H2.D.02.06,4,2,open,,,
H2.D.02.07,2,1,open,,,
H2.D.03.01,4,2,open,,,
H2.D.03.02,4,2,open,,,
H2.D.03.03,3,1,open,Yes,,
H2.D.03.04,3,1,open,Yes,,
H2.D.03.05,3,1,open,Yes,,
H2.D.03.06,4,2,open,,,
H2.D.03.07,2,1,open,,,
H2.D.04.01,4,2,open,,,
H2.D.04.02,4,2,open,,,
H2.D.04.03,3,1,open,Yes,,
H2.D.04.04,3,1,open,Yes,,
H2.D.04.05,3,1,open,Yes,,
H2.D.04.06,4,2,open,,,
H2.D.04.07,2,1,open,,,
H2.D.05.01,4,2,open,,,
H2.D.05.02,3,2,open,,,
H2.D.05.03,2,1,open,,,
H2.D.05.04,2,1,open,,,
H2.D.05.05,3,1,open,,,
H2.D.05.06,4,2,open,,,
H2.D.06.01,4,2,open,,,
H2.D.06.02,4,2,open,,,
H2.D.06.03,2,1,open,,,
